year,document,status,entry,description,unit,value
2018,def2014,budget,phe,PublicHealthExpenditure,k euro,121316
2010,def2014,actual,h,PublicHealthExpenditurePerCentOfGDP,percent,7.250919204
2011,def2014,actual,h,PublicHealthExpenditurePerCentOfGDP,percent,7.03150614
2012,def2014,actual,h,PublicHealthExpenditurePerCentOfGDP,percent,6.995351366
2013,def2014,actual,h,PublicHealthExpenditurePerCentOfGDP,percent,7.003353795
2014,def2014,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,7.023962023
2015,def2014,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,6.989580452
2016,def2014,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,6.927771028
2017,def2014,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,6.856045573
2018,def2014,budget,h,PublicHealthExpenditurePerCentOfGDP,percent,6.78159763
2010,def2014,actual,tpe,Total Public Expenditure,k euro,793513
2011,def2014,actual,tpe,Total Public Expenditure,k euro,794466
2012,def2014,actual,tpe,Total Public Expenditure,k euro,800873
2013,def2014,actual,tpe,Total Public Expenditure,k euro,798940
2014,def2014,budget,tpe,Total Public Expenditure,k euro,809172
2015,def2014,budget,tpe,Total Public Expenditure,k euro,817843
2016,def2014,budget,tpe,Total Public Expenditure,k euro,828653
2017,def2014,budget,tpe,Total Public Expenditure,k euro,838348
2018,def2014,budget,tpe,Total Public Expenditure,k euro,851703
2010,def2014,actual,pnhe,Public Non-Health Expenditure,k euro,680987
2011,def2014,actual,pnhe,Public Non-Health Expenditure,k euro,683372
2012,def2014,actual,pnhe,Public Non-Health Expenditure,k euro,691262
2013,def2014,actual,pnhe,Public Non-Health Expenditure,k euro,689686
2014,def2014,budget,pnhe,Public Non-Health Expenditure,k euro,697698
2015,def2014,budget,pnhe,Public Non-Health Expenditure,k euro,704140
2016,def2014,budget,pnhe,Public Non-Health Expenditure,k euro,712504
2017,def2014,budget,pnhe,Public Non-Health Expenditure,k euro,719668
2018,def2014,budget,pnhe,Public Non-Health Expenditure,k euro,730387
2010,def2014,actual,t,TotalPublicExpenditurePerCentOfGDP,percent,51.13217079
2011,def2014,actual,t,TotalPublicExpenditurePerCentOfGDP,percent,50.28437681
2012,def2014,actual,t,TotalPublicExpenditurePerCentOfGDP,percent,51.11154934
2013,def2014,actual,t,TotalPublicExpenditurePerCentOfGDP,percent,51.21331467
2014,def2014,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,50.98582089
2015,def2014,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,50.27465806
2016,def2014,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,49.42546424
2017,def2014,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,48.4306715
2018,def2014,budget,t,TotalPublicExpenditurePerCentOfGDP,percent,47.61043099
2010,def2014,actual,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,43.88125159
2011,def2014,actual,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,43.25287067
2012,def2014,actual,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,44.11619797
2013,def2014,actual,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,44.20996087
2014,def2014,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,43.96185887
2015,def2014,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,43.28507761
2016,def2014,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,42.49769321
2017,def2014,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,41.57462593
2018,def2014,budget,nh,PublicNonHealthExpenditurePerCentOfGDP,percent,40.82883336
